STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00054787,1,2.39,,32.8,39.9,25.7
USW00054787,2,2.21,,34,41.5,26.4
USW00054787,3,3.15,,40.8,48.5,33
USW00054787,4,3.39,,50.5,58.9,42.1
USW00054787,5,2.98,,60.5,68.7,52.3
USW00054787,6,3.68,,69.6,77.5,61.6
USW00054787,7,3.39,,76.3,83.8,68.7
USW00054787,8,3.45,,74.5,82,67.1
USW00054787,9,3.1,,67.9,75.4,60.4
USW00054787,10,3.47,,57.3,65,49.7
USW00054787,11,2.78,,46.3,53.9,38.8
USW00054787,12,3.95,,38.2,45,31.5
